Country,Year,Sex,NCD_Mortality_Rate
Europe,2004,Male,553.51904
Europe,2019,Male,612.85742
Western Pacific,2000,Female,766.15546
Europe,2018,Male,904.78296
Africa,2004,Male,493.43591
Africa,2002,Female,563.97302
Western Pacific,2013,Male,715.3537
Eastern Mediterranean,2018,Male,430.61081
Africa,2001,Male,860.66821
Europe,2018,Female,502.9552
Americas,2013,Female,358.75922
Americas,2003,Female,544.90973
Western Pacific,2003,Female,282.4657
Western Pacific,2013,Male,384.7825
Eastern Mediterranean,2017,Female,939.82422
Europe,2014,Female,429.39151
Africa,2010,Male,709.16223
South-East Asia,2019,Female,572.66058
Africa,2014,Male,1053.20557
Americas,2014,Female,447.08859
Europe,2004,Male,903.42456
Europe,2019,Female,648.09906
Western Pacific,2003,Male,763.20392
Europe,2006,Female,507.79691
Europe,2014,Female,419.36392
Western Pacific,2002,Male,909.95264
Western Pacific,2007,Male,445.08636
Eastern Mediterranean,2016,Female,593.81555
Eastern Mediterranean,2020,Male,628.62885
Americas,2019,Female,322.95096
Western Pacific,2008,Male,846.68951
Europe,2021,Male,348.14706
South-East Asia,2013,Female,306.93716
Africa,2001,Male,781.29236
Eastern Mediterranean,2018,Male,731.0415
Europe,2019,Female,433.39706
Americas,2007,Male,627.48419
Africa,2004,Female,429.99533
Africa,2002,Male,790.99945
Americas,2000,Male,454.46844
Americas,2012,Female,549.43042
Africa,2021,Female,457.54401
South-East Asia,2006,Female,394.15936
Europe,2011,Female,246.84979
Europe,2012,Male,581.65265
Western Pacific,2001,Male,719.23627
Europe,2011,Male,413.91089
Western Pacific,2000,Female,551.85236
Western Pacific,2009,Female,878.61273
Africa,2016,Female,407.56918
Europe,2007,Male,923.48718
Americas,2012,Female,447.59702
Americas,2013,Female,345.9176
Africa,2016,Female,559.68213
Eastern Mediterranean,2016,Male,440.18124
South-East Asia,2002,Male,504.77072
Western Pacific,2021,Male,789.65881
Europe,2015,Female,467.53827
South-East Asia,2017,Male,436.384
Africa,2001,Male,663.47559
Africa,2008,Female,681.79028
Western Pacific,2020,Female,174.14188
Americas,2020,Male,681.89087
Europe,2016,Female,541.07227
Eastern Mediterranean,2012,Female,360.97006
Europe,2006,Male,679.65857
Europe,2009,Female,643.77551
Europe,2015,Male,671.82941
Americas,2020,Male,513.5871
South-East Asia,2015,Female,531.43988
Americas,2013,Female,444.45352
Europe,2012,Female,671.72015
Western Pacific,2003,Male,437.15158
Africa,2017,Male,498.96185
Africa,2002,Male,592.97919
Americas,2001,Female,576.6463
Americas,2015,Female,394.71704
Western Pacific,2019,Female,466.97076
Africa,2019,Female,463.98193
Africa,2010,Female,581.099
Europe,2001,Female,337.33527
Western Pacific,2009,Male,1189.4812
Western Pacific,2005,Female,260.43213
Europe,2005,Female,319.81696
Africa,2005,Male,738.32172
Europe,2011,Female,637.93195
Eastern Mediterranean,2007,Female,663.4303
Western Pacific,2020,Male,655.04962
Africa,2017,Male,590.14606
South-East Asia,2002,Male,523.04797
Europe,2015,Female,500.57001
Europe,2007,Male,922.85541
Europe,2014,Female,223.85509
Africa,2000,Female,519.94073
Eastern Mediterranean,2018,Male,684.04163
Europe,2015,Male,948.01624
Africa,2011,Male,545.35376
Europe,2020,Female,409.14014
Americas,2008,Male,426.99371
Europe,2000,Female,683.85712
Western Pacific,2012,Female,711.0769
Americas,2010,Female,422.25272
Africa,2017,Male,728.65625
Americas,2020,Female,264.17276
Africa,2010,Female,462.68155
Africa,2017,Male,1018.48328
Africa,2017,Male,764.26752
South-East Asia,2020,Female,501.4454
Americas,2010,Male,567.39252
Europe,2001,Male,841.22278
Americas,2008,Male,499.06717
Africa,2021,Male,977.33765
Eastern Mediterranean,2001,Male,583.16882
Africa,2008,Female,577.4682
Africa,2000,Male,767.46051
Africa,2003,Male,706.62341
Western Pacific,2014,Female,424.37112
Americas,2009,Male,298.03293
Eastern Mediterranean,2020,Female,673.61914
Africa,2006,Male,747.7829
South-East Asia,2019,Female,450.7804
Africa,2008,Female,646.64648
Europe,2009,Female,653.44849
Africa,2016,Male,724.48688
Eastern Mediterranean,2017,Male,710.85828
Europe,2014,Male,984.04102
Europe,2014,Male,414.67438
Africa,2000,Female,612.29108
