Country,Year,Sex,NCD_Mortality_Rate
Africa,2010,Male,721.0191
Europe,2010,Female,598.39655
Africa,2006,Male,1063.36914
Western Pacific,2018,Female,274.47232
Eastern Mediterranean,2012,Female,587.87225
Americas,2015,Female,267.43616
Western Pacific,2007,Male,544.56812
Americas,2001,Female,424.82748
Western Pacific,2007,Male,1042.65442
Africa,2006,Female,459.11996
Eastern Mediterranean,2008,Female,565.96246
South-East Asia,2020,Male,450.48123
Africa,2018,Male,824.01056
Africa,2005,Female,612.09796
Americas,2000,Female,445.90152
Eastern Mediterranean,2005,Male,656.84497
Americas,2012,Male,437.07281
Americas,2016,Male,594.49213
Africa,2009,Female,446.02136
Europe,2013,Male,460.39435
Western Pacific,2021,Female,867.63416
Europe,2005,Female,432.58084
Americas,2015,Female,537.33258
Americas,2017,Male,873.41193
Africa,2012,Female,649.9975
Eastern Mediterranean,2000,Female,372.69766
Europe,2011,Male,1040.49756
Western Pacific,2020,Female,743.96301
Africa,2014,Male,772.56049
Europe,2011,Female,232.12253
Africa,2007,Female,667.25867
Americas,2006,Female,560.65851
Europe,2019,Male,334.33524
Africa,2007,Female,477.03998
Africa,2007,Male,752.40381
Europe,2001,Female,702.53217
Europe,2008,Female,300.34409
Americas,2010,Male,520.84552
Africa,2013,Male,753.17621
Africa,2021,Male,700.97565
Europe,2016,Male,1008.72559
Africa,2010,Female,547.79681
Africa,2000,Male,769.24805
Europe,2012,Female,361.0351
Africa,2018,Female,637.26178
Europe,2010,Male,437.46609
Africa,2009,Male,800.59863
Africa,2009,Female,624.06128
Europe,2007,Male,532.78394
Europe,2021,Female,414.64694
Europe,2015,Male,466.14862
Americas,2020,Female,380.85657
Europe,2010,Male,691.50629
Americas,2006,Male,487.48929
Western Pacific,2001,Female,695.70215
Europe,2020,Male,730.29254
Europe,2017,Male,445.38885
Europe,2001,Male,475.97293
Africa,2006,Male,834.29883
Americas,2019,Male,592.94495
Europe,2003,Male,433.75821
South-East Asia,2017,Male,593.59625
Eastern Mediterranean,2021,Male,767.11633
Africa,2018,Female,591.97845
Eastern Mediterranean,2006,Female,741.92029
Americas,2011,Female,409.35928
Eastern Mediterranean,2018,Female,424.61993
Eastern Mediterranean,2017,Male,622.85468
Eastern Mediterranean,2010,Female,617.3092
Eastern Mediterranean,2007,Female,543.79822
Europe,2002,Male,815.67291
Europe,2001,Male,576.46124
Europe,2010,Male,409.26755
Americas,2021,Female,249.98535
Americas,2008,Female,717.43073
Africa,2008,Male,786.44965
Western Pacific,2011,Male,574.40594
Africa,2021,Female,703.88098
Europe,2014,Female,620.00812
Americas,2010,Male,563.38519
Africa,2004,Male,1075.63831
Americas,2004,Male,585.83978
Eastern Mediterranean,2018,Male,439.59225
South-East Asia,2015,Female,461.59018
Eastern Mediterranean,2012,Male,830.75476
Europe,2012,Male,731.97485
Eastern Mediterranean,2018,Female,656.15936
Africa,2010,Female,922.35028
Africa,2018,Male,676.10162
Africa,2000,Male,698.47919
Africa,2020,Female,566.10864
Europe,2015,Female,269.76828
Africa,2005,Male,877.02887
Africa,2010,Female,901.3075
Europe,2005,Female,282.91763
Europe,2014,Female,255.6089
Europe,2000,Male,542.69458
Americas,2013,Male,843.27905
Eastern Mediterranean,2003,Male,1020.28381
Africa,2007,Female,715.90826
Africa,2016,Female,554.17938
Africa,2021,Female,486.78375
Africa,2012,Male,922.7771
Western Pacific,2012,Male,525.40894
Americas,2017,Male,524.77533
Africa,2020,Female,471.5394
Africa,2015,Female,571.59613
Eastern Mediterranean,2009,Female,723.6535
South-East Asia,2006,Female,600.32642
South-East Asia,2013,Male,748.95325
Western Pacific,2015,Male,739.59674
Americas,2018,Female,331.51297
Europe,2009,Male,481.9537
Eastern Mediterranean,2018,Female,442.15353
Europe,2017,Male,649.74921
Eastern Mediterranean,2014,Male,955.85114
Western Pacific,2001,Female,898.03693
Americas,2019,Male,618.14246
Americas,2010,Male,604.41797
Africa,2021,Female,649.86554
Americas,2013,Female,943.12518
Africa,2000,Female,723.57538
Africa,2015,Female,603.66296
Eastern Mediterranean,2000,Male,1127.57617
Africa,2003,Female,599.51917
Europe,2020,Female,432.20605
Western Pacific,2010,Male,694.03937
Americas,2017,Male,450.78699
Africa,2018,Male,776.67163
Europe,2011,Male,950.383
Americas,2011,Female,420.90161
Western Pacific,2013,Female,284.1795
South-East Asia,2009,Male,487.98752
Americas,2000,Male,360.15311
Americas,2002,Female,383.24265
Europe,2006,Male,764.17395
Eastern Mediterranean,2020,Male,490.27142
Europe,2008,Female,319.09006
Americas,2013,Male,544.12177
South-East Asia,2009,Male,707.79596
Africa,2021,Female,618.88177
Africa,2003,Female,689.1955
Africa,2008,Female,467.50998
Africa,2000,Female,603.91931
Africa,2012,Male,551.44177
South-East Asia,2005,Male,690.70441
Africa,2000,Female,428.25616
Americas,2003,Female,382.25269
Europe,2003,Male,922.47052
Western Pacific,2000,Female,710.19489
Americas,2005,Male,549.16577
Africa,2015,Female,634.60681
Africa,2007,Female,869.54431
Africa,2000,Male,493.84119
Americas,2017,Male,521.98456
Africa,2001,Female,416.90442
Africa,2002,Male,908.26379
Africa,2008,Male,737.64142
Eastern Mediterranean,2006,Female,539.46094
Western Pacific,2010,Female,880.59705
Africa,2019,Male,723.10736
Europe,2014,Male,382.50891
Europe,2002,Female,550.08374
Europe,2012,Female,242.07065
Europe,2019,Male,606.29535
Africa,2008,Male,711.99023
Eastern Mediterranean,2006,Female,664.76172
Africa,2002,Male,1049.36572
Europe,2003,Male,964.1557
Europe,2020,Female,709.27173
Europe,2003,Male,1272.97937
South-East Asia,2013,Female,412.79025
Eastern Mediterranean,2003,Female,876.62628
South-East Asia,2002,Male,707.79462
Americas,2003,Male,549.28552
South-East Asia,2007,Female,513.65259
Western Pacific,2001,Female,875.49609
Africa,2008,Male,770.22253
South-East Asia,2004,Male,550.28375
Americas,2010,Male,466.12244
Europe,2015,Male,758.92694
Africa,2012,Female,591.06592
Eastern Mediterranean,2000,Female,440.81873
Americas,2018,Male,393.04187
Europe,2002,Female,296.02011
Africa,2004,Male,788.73987
South-East Asia,2003,Female,401.38498
Americas,2001,Male,573.05621
Europe,2018,Female,224.11465
Africa,2007,Female,652.44318
Americas,2000,Male,931.48608
Americas,2010,Female,958.16888
Americas,2014,Female,235.47035
Americas,2000,Male,520.50751
Americas,2016,Male,461.80576
Africa,2019,Female,661.57471
Africa,2014,Female,592.98035
Europe,2017,Female,279.70212
Africa,2013,Female,475.47452
Western Pacific,2021,Female,173.65523
Western Pacific,2014,Female,433.93948
Africa,2009,Female,815.93304
Africa,2005,Male,656.09705
Africa,2007,Female,531.96124
Europe,2011,Female,301.51733
Western Pacific,2016,Female,242.78436
Western Pacific,2012,Male,817.5376
Eastern Mediterranean,2006,Male,893.1507
Western Pacific,2021,Male,638.75262
Europe,2015,Female,272.93515
Eastern Mediterranean,2017,Female,410.07596
Europe,2013,Male,362.81555
Europe,2004,Female,356.52728
Europe,2004,Male,847.20593
Western Pacific,2021,Female,745.2312
Africa,2012,Female,471.99179
Western Pacific,2009,Female,548.86426
Americas,2001,Female,335.71997
Europe,2013,Male,390.22934
Europe,2003,Male,817.60791
Western Pacific,2012,Female,436.37222
Americas,2016,Male,394.67325
Africa,2004,Female,614.26917
Africa,2016,Female,456.58743
Africa,2004,Male,597.55713
South-East Asia,2014,Female,579.96039
Europe,2017,Female,325.34479
Americas,2015,Female,649.08685
Africa,2018,Female,452.91333
Western Pacific,2008,Female,865.09509
Africa,2010,Male,699.42413
Africa,2002,Female,625.677
Africa,2010,Female,618.38995
Americas,2018,Female,342.66623
Western Pacific,2000,Male,966.87152
Africa,2003,Male,482.69934
Europe,2000,Male,578.80023
South-East Asia,2003,Male,725.26801
Europe,2004,Male,1284.76025
Europe,2009,Female,284.57791
Africa,2000,Male,685.84888
Africa,2001,Male,995.9082
Americas,2015,Female,265.17279
South-East Asia,2008,Male,460.33899
Americas,2011,Female,524.2926
Europe,2008,Female,323.78687
Americas,2012,Female,679.68842
Western Pacific,2000,Male,391.86264
Africa,2011,Male,589.45563
Europe,2011,Male,720.72485
Eastern Mediterranean,2015,Female,569.8576
Americas,2019,Male,638.05139
Africa,2013,Male,658.7793
Africa,2006,Female,576.92212
Americas,2014,Male,453.73993
Africa,2018,Male,664.53693
Western Pacific,2003,Female,730.97095
Western Pacific,2009,Female,664.64081
Europe,2017,Female,282.91855
Europe,2000,Female,416.62018
Eastern Mediterranean,2002,Female,834.96771
Africa,2020,Male,799.03564
Americas,2005,Male,512.52319
South-East Asia,2005,Male,752.1001
Western Pacific,2000,Female,883.53424
Africa,2002,Female,558.92572
Africa,2015,Female,638.92194
Americas,2014,Female,401.88049
South-East Asia,2002,Male,773.95715
Americas,2011,Male,498.80756
Western Pacific,2009,Female,180.20323
Africa,2003,Female,450.75275
Eastern Mediterranean,2009,Male,734.05969
Africa,2015,Female,448.48987
Eastern Mediterranean,2002,Female,766.96655
Africa,2012,Male,732.19672
Europe,2002,Female,347.6178
Americas,2011,Female,476.79663
Africa,2009,Male,712.60681
Western Pacific,2010,Female,750.04865
South-East Asia,2004,Male,462.76425
Western Pacific,2004,Female,585.50897
Americas,2008,Male,874.5957
Europe,2015,Female,798.23395
Western Pacific,2008,Male,539.76123
Africa,2010,Female,495.00021
Europe,2021,Male,731.98633
Americas,2001,Female,404.32547
Europe,2012,Female,276.15283
Africa,2012,Female,611.11377
Europe,2003,Male,528.94446
Europe,2005,Male,540.0022
Americas,2015,Male,559.94812
Africa,2004,Female,763.59644
South-East Asia,2008,Female,480.64813
Americas,2006,Female,465.93369
Europe,2003,Male,774.07544
Eastern Mediterranean,2010,Male,437.42133
Europe,2019,Female,349.2764
Africa,2006,Female,576.60162
Americas,2014,Male,828.10907
Eastern Mediterranean,2003,Female,622.37915
Eastern Mediterranean,2007,Female,642.84808
Americas,2007,Female,279.61908
Eastern Mediterranean,2003,Female,482.90271
Western Pacific,2013,Female,550.98529
Americas,2010,Female,556.54163
Americas,2001,Male,478.90631
Europe,2011,Female,302.3923
Africa,2011,Female,540.05469
Americas,2001,Male,728.18121
South-East Asia,2014,Male,537.06415
Western Pacific,2004,Female,839.57953
Western Pacific,2009,Male,822.04016
South-East Asia,2018,Male,740.15723
Europe,2019,Female,252.65666
Europe,2016,Male,626.3504
Europe,2020,Male,431.05994
Europe,2007,Female,316.54544
Africa,2003,Male,599.18469
Americas,2012,Female,309.80167
Americas,2004,Male,543.41223
Americas,2017,Female,306.72467
Eastern Mediterranean,2003,Male,770.02673
Africa,2015,Female,446.80762
Eastern Mediterranean,2017,Female,723.3053
Europe,2012,Male,423.70032
Americas,2016,Male,624.00171
Americas,2001,Female,731.70239
Africa,2003,Male,654.12305
Western Pacific,2021,Female,955.64746
Europe,2011,Female,425.48978
Americas,2001,Male,773.91199
Africa,2011,Male,713.17358
Americas,2003,Male,538.005
Eastern Mediterranean,2000,Male,534.01532
Europe,2004,Female,546.56525
Western Pacific,2007,Female,187.7428
Africa,2002,Male,749.87183
Americas,2004,Female,384.23636
Western Pacific,2018,Female,592.31598
Africa,2004,Male,672.93512
Eastern Mediterranean,2017,Female,507.10663
Europe,2005,Male,513.31201
Western Pacific,2003,Female,198.51955
Europe,2000,Female,483.38361
Eastern Mediterranean,2015,Male,475.87326
Europe,2009,Male,650.44543
Europe,2007,Female,327.40649
Europe,2011,Male,413.78171
Africa,2006,Female,608.88287
Western Pacific,2006,Male,586.33374
Europe,2004,Male,989.00073
Eastern Mediterranean,2009,Female,746.37665
Africa,2001,Male,1066.20715
Africa,2004,Male,558.03156
Europe,2006,Male,1206.63135
Americas,2003,Female,489.49963
Europe,2007,Male,910.04675
Africa,2014,Male,733.63269
Americas,2000,Male,477.81085
Eastern Mediterranean,2009,Male,591.14813
Americas,2006,Female,267.09833
Africa,2009,Male,626.83441
South-East Asia,2006,Male,734.16473
Europe,2007,Female,667.95441
Europe,2002,Male,872.15729
Eastern Mediterranean,2002,Female,673.75677
South-East Asia,2016,Male,813.69098
Eastern Mediterranean,2019,Male,621.79767
Western Pacific,2007,Female,452.65207
Africa,2002,Male,786.33783
Western Pacific,2011,Male,833.64661
Americas,2016,Female,267.43173
Western Pacific,2009,Male,1163.35461
Western Pacific,2016,Male,297.58112
Americas,2016,Male,470.09567
Europe,2019,Female,491.24423
Americas,2016,Female,528.23792
Eastern Mediterranean,2009,Female,323.1347
Eastern Mediterranean,2017,Male,648.15411
Europe,2008,Female,486.04486
Europe,2002,Male,786.5705
Africa,2005,Male,813.27148
Western Pacific,2017,Male,1044.23022
Europe,2013,Female,549.69031
Eastern Mediterranean,2006,Female,886.01263
Americas,2015,Female,588.24554
Africa,2019,Female,626.49908
Eastern Mediterranean,2020,Male,381.4201
Western Pacific,2016,Male,543.68262
South-East Asia,2021,Female,325.26276
Americas,2007,Male,499.98276
Americas,2018,Male,542.35406
Europe,2012,Male,367.7131
Eastern Mediterranean,2008,Female,604.27319
Europe,2006,Male,656.62463
Africa,2011,Female,638.67279
Americas,2000,Male,519.29962
Europe,2003,Male,526.19537
Eastern Mediterranean,2005,Male,466.69199
Europe,2014,Male,885.13086
Europe,2000,Male,624.08606
Western Pacific,2021,Male,1279.8833
Africa,2006,Male,605.37512
Western Pacific,2014,Female,738.53656
Europe,2017,Male,928.42279
Africa,2003,Female,743.34937
Africa,2018,Male,486.651
Africa,2018,Male,719.91003
Africa,2019,Female,555.05365
Americas,2009,Female,369.53717
Africa,2003,Male,662.16766
Africa,2002,Male,573.79852
Europe,2016,Female,281.29858
Africa,2014,Female,969.49463
Europe,2003,Female,503.3844
Americas,2017,Female,628.97101
Americas,2019,Female,505.27866
Americas,2010,Female,369.16782
South-East Asia,2009,Female,483.37662
Europe,2010,Male,469.70364
Africa,2016,Female,603.18463
Europe,2020,Female,338.47733
Europe,2015,Female,397.75668
Americas,2002,Female,1027.42456
Eastern Mediterranean,2001,Female,451.72275
Africa,2004,Female,777.85181
Americas,2011,Female,446.38303
Europe,2003,Male,537.04004
Americas,2009,Male,459.82831
Africa,2010,Male,712.20361
Europe,2013,Male,743.76831
South-East Asia,2015,Male,537.34747
Eastern Mediterranean,2015,Male,724.1781
Americas,2015,Female,456.79776
Africa,2017,Male,830.71136
Africa,2005,Female,616.84473
Eastern Mediterranean,2012,Male,579.17896
Africa,2019,Female,532.45074
Europe,2011,Female,419.53345
Europe,2017,Female,449.40118
Americas,2011,Female,348.72122
Africa,2010,Male,526.7525
Europe,2016,Male,667.34753
Eastern Mediterranean,2016,Male,326.45166
Europe,2005,Female,341.91803
South-East Asia,2019,Male,654.43195
Eastern Mediterranean,2014,Female,488.49097
South-East Asia,2017,Female,388.1131
Americas,2002,Male,700.71851
Europe,2010,Male,801.22357
Africa,2009,Female,671.76465
Africa,2009,Male,815.35071
Africa,2003,Female,439.18439
Europe,2011,Male,423.09027
Europe,2006,Male,478.72046
Western Pacific,2008,Female,680.25421
Europe,2011,Female,665.60858
Africa,2018,Female,719.3374
Europe,2004,Female,335.75244
Eastern Mediterranean,2007,Female,628.59705
Europe,2012,Female,550.85907
Europe,2007,Female,298.9252
Americas,2015,Male,628.71021
Africa,2018,Male,1006.32886
Europe,2020,Male,358.2937
Europe,2008,Male,1194.78906
Africa,2003,Male,631.81696
Americas,2005,Female,485.12173
Eastern Mediterranean,2008,Female,550.12506
Americas,2012,Male,821.88318
Africa,2008,Male,672.43378
Africa,2017,Male,1237.5791
Americas,2014,Female,342.85684
Europe,2019,Male,583.42212
Europe,2007,Female,535.35132
Americas,2012,Female,459.2417
Africa,2009,Female,594.05945
Europe,2009,Male,1140.03931
Europe,2009,Female,597.81335
Europe,2019,Male,419.30576
Eastern Mediterranean,2000,Male,360.86771
South-East Asia,2014,Male,610.81451
Europe,2010,Male,760.28876
Africa,2014,Female,639.48547
Africa,2010,Female,473.39035
Americas,2011,Female,347.47083
Africa,2002,Female,573.25391
Europe,2009,Male,496.93365
Europe,2002,Female,707.79547
Africa,2021,Male,706.27649
Africa,2017,Female,640.60425
South-East Asia,2009,Female,663.91357
Africa,2017,Female,597.79199
Eastern Mediterranean,2020,Female,477.12076
Eastern Mediterranean,2017,Male,569.17767
Africa,2010,Male,752.81354
Europe,2015,Female,235.15105
Eastern Mediterranean,2011,Male,602.99176
Africa,2000,Male,753.2713
Western Pacific,2018,Male,303.72638
Europe,2021,Female,262.35751
Africa,2017,Male,694.00024
Europe,2020,Male,311.61566
Europe,2001,Male,772.62756
Africa,2021,Male,841.84583
Africa,2013,Female,570.66852
Europe,2004,Male,459.24103
Europe,2009,Female,737.29016
South-East Asia,2019,Female,464.73508
Eastern Mediterranean,2009,Female,651.1723
Africa,2021,Male,678.09863
South-East Asia,2019,Male,599.55908
Africa,2007,Male,716.65015
Americas,2016,Male,503.30597
South-East Asia,2018,Female,378.5874
Africa,2001,Female,627.09973
Eastern Mediterranean,2011,Female,689.1261
Africa,2009,Female,431.24609
Africa,2016,Female,574.22565
Europe,2018,Female,305.42682
South-East Asia,2012,Male,832.16687
Africa,2009,Female,562.20673
Western Pacific,2006,Male,383.10794
Americas,2021,Female,439.25287
Americas,2004,Female,396.11313
Europe,2005,Male,511.39218
Americas,2020,Female,392.27866
Western Pacific,2016,Female,638.12897
Europe,2020,Female,244.23738
Americas,2007,Female,398.75055
Eastern Mediterranean,2018,Female,683.35052
Africa,2015,Female,605.41443
Europe,2007,Male,697.95386
Americas,2016,Female,585.13129
Africa,2012,Female,547.56342
Africa,2000,Male,755.26379
Americas,2006,Male,470.73599
Africa,2007,Female,696.49323
Western Pacific,2015,Male,803.51166
South-East Asia,2021,Male,689.18091
Americas,2014,Female,930.55695
Africa,2001,Male,696.94025
Africa,2015,Male,729.18365
Europe,2014,Female,279.23508
Europe,2020,Male,760.62646
Africa,2014,Male,752.35699
Americas,2001,Male,555.22174
Africa,2005,Male,629.20917
Americas,2004,Female,327.50027
Americas,2020,Male,399.88837
Africa,2000,Male,603.94312
Eastern Mediterranean,2014,Female,940.90771
Americas,2018,Female,330.36078
Europe,2009,Female,278.51395
Europe,2001,Male,937.52307
Western Pacific,2003,Female,349.10168
Africa,2006,Female,487.57117
Eastern Mediterranean,2018,Female,530.16467
Africa,2002,Male,613.38861
Europe,2017,Female,251.91022
Eastern Mediterranean,2017,Male,684.13715
Europe,2010,Male,577.41101
Africa,2019,Female,547.37549
Eastern Mediterranean,2000,Female,544.35168
Western Pacific,2010,Female,508.98242
Europe,2010,Male,1209.66431
Africa,2002,Female,680.56622
Europe,2005,Female,727.82208
Europe,2004,Male,1225.55579
Africa,2015,Female,591.42657
Eastern Mediterranean,2004,Male,801.27069
Western Pacific,2016,Female,722.53033
Americas,2008,Female,488.90228
Africa,2012,Female,601.12372
Africa,2011,Male,725.92102
Americas,2009,Female,458.80823
Western Pacific,2017,Male,556.59625
South-East Asia,2000,Male,511.51404
Western Pacific,2013,Female,784.37457
Africa,2011,Male,739.2309
Europe,2003,Female,313.22678
Americas,2019,Female,606.59644
Africa,2000,Female,575.75751
Europe,2000,Male,499.49951
Europe,2018,Female,216.35323
Europe,2008,Female,527.24719
Eastern Mediterranean,2007,Male,621.34265
Americas,2021,Male,402.57947
Europe,2000,Female,301.73019
Europe,2019,Male,367.27332
Americas,2007,Female,378.34415
Europe,2014,Female,348.70996
Africa,2018,Female,595.34271
Africa,2003,Male,808.3064
Europe,2002,Female,340.80505
Africa,2009,Male,735.90076
South-East Asia,2015,Female,583.91199
Europe,2001,Female,659.20667
Africa,2011,Male,637.79199
Africa,2010,Male,786.69757
Americas,2002,Female,577.48077
Western Pacific,2003,Female,458.42593
Americas,2007,Male,575.88696
Europe,2018,Female,267.45383
Africa,2019,Female,642.56299
Europe,2010,Male,471.54578
Africa,2017,Female,556.74585
Europe,2003,Female,381.21588
Africa,2015,Female,604.6004
Europe,2006,Male,413.69101
Africa,2011,Male,755.13696
Europe,2006,Female,305.76117
Eastern Mediterranean,2011,Male,963.03735
Africa,2013,Male,809.41193
Western Pacific,2012,Male,1139.52515
South-East Asia,2017,Female,572.2796
Western Pacific,2011,Male,1072.0968
Africa,2004,Female,449.23212
Europe,2013,Female,502.02014
Africa,2002,Male,554.36279
Eastern Mediterranean,2021,Male,664.44739
Western Pacific,2006,Female,501.27524
Eastern Mediterranean,2009,Female,565.57184
Eastern Mediterranean,2003,Female,559.49353
South-East Asia,2007,Male,879.44952
Europe,2012,Male,420.36346
Americas,2018,Male,637.71533
Africa,2021,Male,614.32166
Americas,2008,Male,501.28552
Americas,2012,Male,627.64032
Europe,2020,Male,423.03836
Eastern Mediterranean,2018,Female,496.78687
Africa,2003,Male,681.56171
Western Pacific,2006,Male,821.97827
Eastern Mediterranean,2012,Male,828.05658
Europe,2006,Female,576.30511
Americas,2006,Female,421.6077
Americas,2007,Male,484.72919
Eastern Mediterranean,2011,Male,913.58551
Americas,2000,Female,499.82886
Americas,2021,Male,374.94772
Eastern Mediterranean,2006,Female,475.04825
Europe,2000,Female,359.79541
South-East Asia,2012,Female,411.69296
Africa,2017,Male,780.70856
Eastern Mediterranean,2018,Female,720.47144
Europe,2007,Male,1213.19238
Europe,2015,Female,265.19418
Eastern Mediterranean,2006,Female,347.35718
Europe,2001,Female,293.5304
Americas,2009,Male,456.72031
Eastern Mediterranean,2016,Male,1035.0636
Africa,2010,Female,527.48181
Africa,2015,Male,488.13864
Europe,2017,Male,350.71793
Africa,2012,Female,844.88293
Europe,2021,Male,460.95026
Eastern Mediterranean,2020,Female,652.37305
Africa,2017,Male,542.07452
Africa,2001,Male,602.53217
Africa,2007,Male,754.50226
Africa,2002,Male,693.68787
Europe,2002,Female,647.38635
Africa,2021,Male,685.9259
Western Pacific,2019,Female,378.27316
Europe,2021,Female,454.69775
Americas,2014,Female,275.37283
Western Pacific,2008,Female,450.65988
Africa,2006,Female,708.21936
Eastern Mediterranean,2003,Male,541.034
Africa,2005,Male,750.21631
Europe,2006,Male,831.12512
Europe,2009,Male,1227.36523
Africa,2017,Female,590.41992
Europe,2020,Male,350.34375
Africa,2004,Male,843.70929
Africa,2019,Female,574.65918
Africa,2006,Female,444.3754
Africa,2008,Female,590.36133
Europe,2006,Male,978.18713
Eastern Mediterranean,2013,Female,704.87927
Africa,2011,Male,941.40833
Europe,2017,Female,536.67938
Europe,2002,Male,1066.13281
Eastern Mediterranean,2000,Female,560.23431
Western Pacific,2020,Male,306.46597
Africa,2019,Male,821.16534
Europe,2011,Male,783.45593
Europe,2008,Male,448.76477
Americas,2019,Male,377.96701
Europe,2018,Female,440.71338
Western Pacific,2005,Male,557.82947
Europe,2018,Male,423.61234
Africa,2003,Female,616.75348
Europe,2002,Female,809.50061
Africa,2011,Male,701.82794
Africa,2017,Female,613.87579
Africa,2002,Female,541.11053
Eastern Mediterranean,2015,Male,704.57977
Americas,2018,Female,394.94855
Africa,2003,Male,794.74744
Africa,2003,Female,586.13794
Western Pacific,2007,Male,1306.86365
Eastern Mediterranean,2015,Male,387.60315
Americas,2003,Male,654.91876
Europe,2020,Male,884.94617
Eastern Mediterranean,2011,Male,740.03522
Europe,2009,Female,429.9725
Europe,2011,Male,408.25555
Europe,2021,Male,349.78601
Eastern Mediterranean,2020,Female,501.45514
Americas,2002,Female,456.13757
South-East Asia,2002,Male,785.14063
Americas,2004,Female,398.05847
Europe,2021,Female,258.12665
Western Pacific,2004,Male,838.06921
Africa,2010,Male,549.8092
Europe,2002,Female,1202.87268
Americas,2008,Male,620.198
Europe,2013,Male,679.29962
South-East Asia,2019,Female,807.37897
Africa,2017,Female,955.00995
Africa,2009,Male,783.42505
Western Pacific,2016,Female,756.49792
South-East Asia,2021,Female,524.10907
South-East Asia,2002,Female,434.29614
Europe,2006,Female,419.00241
Western Pacific,2020,Female,822.98761
Europe,2009,Male,889.94427
South-East Asia,2005,Male,603.94299
Africa,2016,Female,555.36505
Americas,2019,Female,900.30969
Eastern Mediterranean,2019,Male,670.5202
Americas,2017,Female,348.4006
Europe,2005,Male,490.39926
Europe,2013,Male,367.02631
Africa,2001,Female,587.43628
Europe,2021,Female,238.86168
Eastern Mediterranean,2021,Female,396.85602
Africa,2019,Female,577.37585
Western Pacific,2008,Male,672.51129
Americas,2003,Male,683.30292
Europe,2007,Female,479.5892
Eastern Mediterranean,2002,Male,865.7088
Europe,2006,Female,424.3262
Western Pacific,2006,Male,1267.29968
Africa,2021,Male,744.09546
Africa,2004,Male,897.40228
Africa,2007,Male,815.39154
Africa,2015,Female,476.90924
Europe,2001,Female,457.64545
Europe,2005,Male,621.60388
Americas,2018,Male,468.78278
Europe,2004,Female,1108.04285
Europe,2013,Male,690.54773
Africa,2002,Male,687.24475
Africa,2016,Male,515.77734
Americas,2007,Female,391.89249
Western Pacific,2008,Male,406.371
South-East Asia,2003,Male,524.82581
Eastern Mediterranean,2004,Male,998.55811
Europe,2003,Male,522.66132
Eastern Mediterranean,2001,Female,457.91724
Europe,2014,Male,764.79626
South-East Asia,2012,Male,639.39252
Americas,2021,Male,500.93915
Americas,2016,Male,535.21887
Americas,2012,Female,344.63992
Europe,2003,Female,412.54214
Africa,2003,Female,605.45898
Africa,2019,Male,643.21844
Eastern Mediterranean,2005,Female,589.30731
Americas,2021,Female,361.87961
Europe,2005,Male,748.51526
Eastern Mediterranean,2003,Female,765.83801
Western Pacific,2004,Male,703.66064
Eastern Mediterranean,2010,Male,917.45935
Western Pacific,2003,Female,498.13046
Western Pacific,2007,Female,811.71973
Western Pacific,2013,Female,211.13029
Americas,2009,Male,519.17072
Africa,2007,Female,467.66974
Western Pacific,2009,Male,1078.25146
Africa,2004,Female,427.17154
Africa,2015,Female,583.93127
Africa,2000,Male,861.29541
Africa,2005,Female,688.13898
South-East Asia,2004,Female,404.43103
Africa,2013,Female,454.95422
Europe,2013,Male,826.11554
Europe,2004,Male,583.47656
Americas,2019,Male,564.9082
Western Pacific,2016,Female,829.586
Africa,2020,Male,647.9151
Eastern Mediterranean,2017,Female,678.72906
Africa,2011,Male,871.44904
Americas,2019,Female,278.97992
Europe,2006,Male,773.4104
Americas,2008,Female,363.8812
Europe,2019,Female,511.91815
Eastern Mediterranean,2000,Female,472.62796
Europe,2008,Male,1191.09338
South-East Asia,2007,Female,482.42029
Africa,2020,Male,706.71271
Western Pacific,2001,Female,518.3443
Africa,2008,Female,554.36505
Africa,2003,Male,756.28455
Europe,2014,Female,257.36746
Americas,2002,Male,912.20605
Africa,2006,Male,834.35339
Africa,2021,Female,577.12463
Western Pacific,2019,Male,1097.74097
South-East Asia,2008,Male,807.6582
Western Pacific,2016,Female,627.70276
Africa,2019,Female,583.23608
Americas,2005,Female,378.70584
Africa,2000,Female,598.24042
Europe,2015,Male,678.13531
Africa,2010,Female,978.32397
Eastern Mediterranean,2004,Male,642.4043
Africa,2005,Female,548.31885
South-East Asia,2007,Female,578.08331
Europe,2009,Female,740.5929
Africa,2020,Male,766.01337
Africa,2017,Female,638.92059
Western Pacific,2011,Male,819.95215
Eastern Mediterranean,2015,Female,498.08725
Europe,2016,Male,414.79913
Africa,2020,Male,722.75861
Western Pacific,2010,Male,1141.19751
Americas,2014,Male,541.88617
Europe,2007,Female,544.62433
Western Pacific,2006,Male,863.98346
Europe,2005,Male,907.52313
Western Pacific,2015,Female,847.47894
Europe,2005,Female,750.45978
South-East Asia,2014,Female,620.00598
Western Pacific,2005,Male,815.16211
Western Pacific,2020,Male,727.64368
Western Pacific,2010,Male,1179.5625
Americas,2007,Female,331.3056
Europe,2018,Female,252.93629
Eastern Mediterranean,2011,Female,594.95459
Eastern Mediterranean,2005,Female,749.21863
Americas,2018,Male,610.30048
Americas,2002,Male,556.40778
Europe,2013,Male,1012.16821
Europe,2002,Male,1299.04565
Western Pacific,2006,Male,450.50491
Eastern Mediterranean,2001,Male,618.41779
Americas,2010,Female,383.13876
